customer_id,churn_probability,risk_level
47942,0.9692,High
35750,0.9683,High
38177,0.9683,High
42273,0.968,High
38181,0.9677,High
9953,0.9677,High
42968,0.9676,High
36626,0.9674,High
45871,0.9672,High
2400,0.9672,High
35327,0.9671,High
51695,0.9669,High
37256,0.9669,High
26769,0.9669,High
3014,0.9669,High
47372,0.9667,High
35459,0.9666,High
11722,0.9666,High
54,0.9666,High
22476,0.9665,High
11404,0.9665,High
51858,0.9663,High
45409,0.9662,High
26016,0.9661,High
43659,0.9661,High
12656,0.9661,High
38866,0.9661,High
30377,0.966,High
19946,0.9659,High
18035,0.9659,High
12555,0.9658,High
1405,0.9658,High
36187,0.9658,High
13082,0.9658,High
8672,0.9658,High
36133,0.9657,High
1627,0.9656,High
29629,0.9656,High
22546,0.9656,High
8703,0.9655,High
42963,0.9655,High
25916,0.9655,High
29659,0.9655,High
31044,0.9654,High
15403,0.9654,High
24471,0.9653,High
32022,0.9653,High
33816,0.9653,High
3572,0.9653,High
23046,0.9653,High
4471,0.9653,High
29593,0.9653,High
9198,0.9652,High
12867,0.9651,High
13606,0.965,High
25701,0.965,High
40604,0.9649,High
8889,0.9649,High
3093,0.9648,High
50570,0.9648,High
12232,0.9648,High
26232,0.9648,High
23005,0.9647,High
42130,0.9647,High
6304,0.9647,High
20798,0.9647,High
24790,0.9647,High
41329,0.9646,High
4363,0.9646,High
12273,0.9645,High
8222,0.9645,High
2399,0.9645,High
1068,0.9645,High
32545,0.9644,High
5653,0.9644,High
16692,0.9644,High
25552,0.9644,High
16917,0.9644,High
39523,0.9644,High
40463,0.9642,High
51459,0.9642,High
33490,0.9642,High
37137,0.9642,High
24657,0.9641,High
6943,0.9641,High
50171,0.964,High
50116,0.9639,High
46585,0.9639,High
14414,0.9638,High
49429,0.9637,High
292,0.9637,High
37029,0.9636,High
24661,0.9636,High
46870,0.9636,High
30865,0.9636,High
32490,0.9635,High
50454,0.9635,High
8694,0.9634,High
18164,0.9634,High
8676,0.9634,High
4828,0.9633,High
15271,0.9632,High
29676,0.9632,High
17861,0.9632,High
47501,0.9632,High
49993,0.9631,High
49636,0.9631,High
16250,0.9631,High
32803,0.9631,High
37519,0.963,High
12433,0.963,High
23202,0.9629,High
16595,0.9629,High
20753,0.9629,High
50458,0.9628,High
10814,0.9628,High
17996,0.9628,High
2920,0.9627,High
14011,0.9627,High
14501,0.9626,High
34638,0.9626,High
28788,0.9626,High
11059,0.9625,High
24755,0.9625,High
27141,0.9625,High
41457,0.9625,High
41544,0.9625,High
42176,0.9625,High
11437,0.9624,High
9041,0.9624,High
43701,0.9623,High
7870,0.9622,High
48861,0.9622,High
51146,0.9622,High
34891,0.9622,High
42057,0.9622,High
5771,0.9621,High
27915,0.962,High
15359,0.962,High
42853,0.962,High
34519,0.962,High
50781,0.962,High
32331,0.9619,High
18206,0.9619,High
37968,0.9619,High
4045,0.9619,High
14791,0.9619,High
14998,0.9619,High
24936,0.9619,High
10061,0.9619,High
44099,0.9618,High
23066,0.9618,High
23110,0.9618,High
33399,0.9618,High
40621,0.9618,High
20038,0.9618,High
49281,0.9618,High
29038,0.9618,High
47636,0.9618,High
42356,0.9618,High
157,0.9617,High
31506,0.9617,High
3582,0.9617,High
46312,0.9617,High
48002,0.9616,High
658,0.9616,High
30644,0.9616,High
12547,0.9616,High
32511,0.9615,High
36888,0.9614,High
31280,0.9614,High
37039,0.9613,High
16567,0.9613,High
13512,0.9613,High
7497,0.9612,High
35665,0.9612,High
9500,0.9611,High
23950,0.9611,High
13491,0.9611,High
35185,0.961,High
11447,0.961,High
44526,0.961,High
10689,0.961,High
11200,0.9609,High
50649,0.9609,High
22785,0.9609,High
34117,0.9607,High
40381,0.9607,High
26245,0.9607,High
49503,0.9606,High
29203,0.9606,High
5379,0.9606,High
16171,0.9606,High
3026,0.9606,High
47614,0.9605,High
14223,0.9605,High
37898,0.9605,High
