feature,importance
recency_days,0.5079929620761732
tenure_days,0.18370163669562922
total_transactions,0.07503256983849063
total_revenue,0.047878787295790974
engagement_trend_ratio,0.026378321018478153
avg_satisfaction,0.02202295979391435
avg_resolution_time,0.01907841495714816
avg_sessions,0.015189952523294973
avg_feature_usage,0.014506927636253466
avg_session_minutes,0.014473369558683377
billing_cycle_Annual,0.013736486249149157
billing_cycle_Monthly,0.01254699388504432
age,0.00987657343745821
total_tickets,0.00927502494962296
monthly_price,0.00796541150848737
discount_percentage,0.003463645775269119
plan_name_Basic,0.002138624298952738
unresolved_tickets,0.0020584490618540054
premium_support,0.0020160513886509877
acquisition_channel_Paid Search,0.0015027930364213088
acquisition_channel_Social Media,0.001458929272281886
acquisition_channel_Referral,0.0014280817939713443
acquisition_channel_Organic Search,0.0010898174532036698
plan_name_Standard,0.0010220729989358533
plan_name_Enterprise,0.0009468332846729855
acquisition_channel_Affiliate,0.0008595640479768544
acquisition_channel_Email Marketing,0.0008203918835670686
plan_name_Premium,0.0008183897127437346
acquisition_channel_Direct,0.0007199645678799948
