cohort_month,M0,M1,M2,M3,M6,M12
2023-09,100.0,100.0,95.2,92.2,85.9,74.5
2023-10,100.0,96.2,96.2,89.8,86.3,74.7
2023-11,100.0,100.0,96.5,90.9,87.4,74.4
2023-12,100.0,96.0,93.0,92.7,87.0,74.0
2024-01,100.0,96.1,95.7,91.3,84.6,71.7
2024-02,100.0,100.0,94.4,90.8,85.3,74.5
2024-03,100.0,96.6,96.5,90.6,84.8,76.1
2024-04,100.0,100.0,96.3,92.6,86.0,75.3
2024-05,100.0,95.8,95.8,90.2,84.3,74.4
2024-06,100.0,100.0,95.7,88.9,85.6,73.7
2024-07,100.0,95.9,92.4,89.7,83.7,74.7
2024-08,100.0,96.6,96.5,90.8,84.5,75.4
2024-09,100.0,100.0,95.6,91.3,84.8,71.6
2024-10,100.0,96.2,95.7,89.4,85.4,
2024-11,100.0,100.0,96.2,89.9,86.2,
2024-12,100.0,95.7,92.7,92.2,86.4,
2025-01,100.0,96.6,96.3,92.4,86.2,
2025-02,100.0,100.0,96.0,91.5,86.5,
2025-03,100.0,95.2,95.2,89.1,81.1,
2025-04,100.0,100.0,96.0,92.0,,
2025-05,100.0,96.1,96.1,89.5,,
2025-06,100.0,100.0,95.8,93.2,,
2025-07,100.0,96.4,88.7,,,
2025-08,100.0,92.1,,,,
