customer_id,last_transaction_date,frequency,monetary,recency_days,subscription_status,R_score,F_score,M_score,rfm_score,segment
1,2025-08-19,5.0,212.45000000000002,13.0,Active,4,3,4,11,Loyal
2,2024-11-09,3.0,38.37,296.0,Cancelled,1,3,1,5,Lost
3,2025-06-11,1.0,155.41,82.0,Active,2,1,3,6,Dormant
4,2025-08-31,4.0,39.96,1.0,Active,5,3,1,9,Potential Loyal
5,2024-12-02,2.0,458.78,273.0,Active,1,2,5,8,Dormant
6,2025-08-18,1.0,91.69,14.0,Active,4,1,2,7,New
7,2025-08-11,4.0,31.96,21.0,Active,4,3,1,8,Potential Loyal
8,2025-08-26,5.0,34.95,6.0,Active,5,3,1,9,Potential Loyal
9,2025-08-25,20.0,319.8,7.0,Active,5,5,5,15,VIP
10,2024-09-18,1.0,539.89,348.0,Active,1,1,5,7,Dormant
11,2025-08-16,13.0,207.87,16.0,Active,4,5,4,13,VIP
12,2025-07-21,1.0,155.41,42.0,Active,3,1,3,7,Potential Loyal
13,2025-01-29,1.0,138.13,215.0,Active,2,1,3,6,Dormant
14,2025-05-21,1.0,242.89,103.0,Active,2,1,4,7,Dormant
15,2024-09-13,1.0,229.39,353.0,Active,1,1,4,6,Dormant
16,2025-03-30,2.0,345.38,155.0,Active,2,2,5,9,Dormant
17,2025-08-27,9.0,404.91,5.0,Active,5,4,5,14,VIP
18,2024-03-03,3.0,74.97,547.0,Cancelled,1,3,2,6,Lost
19,2025-08-21,4.0,63.96,11.0,Active,5,3,2,10,Potential Loyal
20,2025-01-21,1.0,269.89,223.0,Active,2,1,4,7,Dormant
21,2025-08-09,5.0,49.95,23.0,Active,3,3,1,7,Potential Loyal
22,2025-07-09,2.0,310.82,54.0,Active,3,2,5,10,Potential Loyal
23,2025-08-15,1.0,24.99,17.0,Active,4,1,1,6,New
24,2025-07-01,1.0,107.89,62.0,Active,3,1,2,6,Potential Loyal
25,2025-04-24,1.0,75.49,130.0,Active,2,1,2,5,Dormant
26,2025-03-02,2.0,172.58,183.0,Active,2,2,3,7,Dormant
27,2024-09-30,1.0,269.89,336.0,Cancelled,1,1,4,6,Lost
28,2024-09-09,11.0,109.89,357.0,Cancelled,1,4,3,8,Lost
29,2025-06-20,14.0,699.86,73.0,Cancelled,2,5,5,12,Lost
30,2025-02-23,1.0,138.13,190.0,Active,2,1,3,6,Dormant
31,2025-04-03,1.0,91.69,151.0,Cancelled,2,1,2,5,Lost
32,2025-08-13,1.0,17.49,19.0,Active,4,1,1,6,New
33,2025-06-17,2.0,215.78,76.0,Active,2,2,4,8,Dormant
34,2025-08-16,12.0,239.88,16.0,Active,4,4,4,12,VIP
35,2024-10-02,1.0,539.89,334.0,Active,1,1,5,7,Dormant
36,2025-08-20,17.0,271.83,12.0,Active,4,5,4,13,VIP
37,2025-08-27,16.0,719.84,5.0,Active,5,5,5,15,VIP
38,2024-10-07,1.0,188.89,329.0,Active,1,1,4,6,Dormant
39,2025-03-24,9.0,224.91,161.0,Cancelled,2,4,4,10,Lost
40,2025-07-15,6.0,41.94,48.0,Cancelled,3,3,1,7,Potential Loyal
41,2024-09-09,1.0,86.29,357.0,Active,1,1,2,4,Dormant
42,2025-08-24,4.0,179.96,8.0,Active,5,3,4,12,Loyal
43,2025-03-06,1.0,188.89,179.0,Active,2,1,4,7,Dormant
44,2024-08-06,3.0,47.97,391.0,Cancelled,1,3,1,5,Lost
45,2025-07-25,2.0,22.38,38.0,Active,3,2,1,6,Potential Loyal
46,2025-08-08,4.0,51.16,24.0,Active,3,3,2,8,Potential Loyal
47,2025-08-28,12.0,269.88,4.0,Active,5,4,4,13,VIP
48,2024-09-16,5.0,79.95,350.0,Cancelled,1,3,2,6,Lost
49,2025-08-22,7.0,279.93,10.0,Active,5,4,5,14,VIP
50,2025-08-06,18.0,287.82,26.0,Active,3,5,5,13,Loyal
51,2024-03-07,1.0,215.89,543.0,Active,1,1,4,6,Dormant
52,2025-08-28,24.0,268.56,4.0,Active,5,5,4,14,VIP
53,2025-08-27,5.0,106.19999999999999,5.0,Active,5,3,2,10,Potential Loyal
54,2025-03-13,2.0,19.98,172.0,Cancelled,2,2,1,5,Lost
55,2025-08-06,6.0,47.94,26.0,Active,3,3,1,7,Potential Loyal
56,2025-08-23,5.0,99.94999999999999,9.0,Active,5,3,2,10,Potential Loyal
57,2025-08-21,12.0,419.88,11.0,Active,5,4,5,14,VIP
58,2025-08-07,9.0,224.91,25.0,Active,3,4,4,11,Loyal
59,2025-07-07,17.0,424.83,56.0,Cancelled,3,5,5,13,Loyal
60,2024-12-21,2.0,241.7,254.0,Active,1,2,4,7,Dormant
61,2025-08-13,6.0,67.14,19.0,Active,4,3,2,9,Potential Loyal
62,2025-08-29,10.0,449.90000000000003,3.0,Active,5,4,5,14,VIP
63,2025-08-05,9.0,89.91,27.0,Active,3,4,2,9,Potential Loyal
64,2025-08-13,5.0,39.95,19.0,Active,4,3,1,8,Potential Loyal
65,2025-01-23,1.0,155.41,221.0,Active,2,1,3,6,Dormant
66,2025-08-27,9.0,224.91,5.0,Active,5,4,4,13,VIP
67,2025-05-03,6.0,59.94,121.0,Cancelled,2,3,2,7,Lost
68,2025-08-24,14.0,201.46,8.0,Active,5,5,4,14,VIP
69,2024-10-01,2.0,310.82,335.0,Active,1,2,5,8,Dormant
70,2025-08-05,12.0,191.88,27.0,Active,3,4,4,11,Loyal
71,2025-07-12,15.0,127.35000000000001,51.0,Active,3,5,3,11,Loyal
72,2025-08-19,2.0,310.82,13.0,Active,4,2,5,11,New
73,2025-06-08,1.0,97.09,85.0,Active,2,1,2,5,Dormant
74,2025-08-27,18.0,179.82,5.0,Active,5,5,4,14,VIP
75,2024-10-28,2.0,215.78,308.0,Cancelled,1,2,4,7,Lost
76,2025-08-06,15.0,215.85000000000002,26.0,Active,3,5,4,12,Loyal
77,2025-05-23,2.0,539.78,101.0,Active,2,2,5,9,Dormant
78,2025-08-08,6.0,59.94,24.0,Active,3,3,2,8,Potential Loyal
79,2025-08-29,7.0,69.93,3.0,Active,5,4,2,11,Potential Loyal
80,2025-04-27,1.0,97.09,127.0,Active,2,1,2,5,Dormant
81,2025-08-10,7.0,349.93,22.0,Active,4,4,5,13,VIP
82,2025-08-17,1.0,172.69,15.0,Active,4,1,3,8,New
83,2025-08-13,4.0,31.96,19.0,Active,4,3,1,8,Potential Loyal
84,2025-08-30,20.0,499.79999999999995,2.0,Active,5,5,5,15,VIP
85,2025-08-14,24.0,599.76,18.0,Active,4,5,5,14,VIP
86,2025-08-20,22.0,439.78,12.0,Active,4,5,5,14,VIP
87,2025-08-17,6.0,47.94,15.0,Active,4,3,1,8,Potential Loyal
88,2024-09-27,1.0,172.69,339.0,Cancelled,1,1,3,5,Lost
89,2024-12-28,12.0,119.88,247.0,Cancelled,2,4,3,9,Lost
90,2024-10-24,1.0,269.89,312.0,Active,1,1,4,6,Dormant
91,2025-07-18,18.0,449.82,45.0,Active,3,5,5,13,Loyal
92,2025-03-03,1.0,172.69,182.0,Active,2,1,3,6,Dormant
93,2025-08-11,11.0,123.08999999999999,21.0,Active,4,4,3,11,Loyal
94,2024-12-26,6.0,104.94,249.0,Cancelled,1,3,2,6,Lost
95,2025-08-22,14.0,190.26,10.0,Active,5,5,4,14,VIP
96,2025-08-18,8.0,67.92,14.0,Active,4,4,2,10,Potential Loyal
97,2025-08-09,13.0,116.87,23.0,Active,3,5,3,11,Loyal
98,2024-11-26,2.0,276.26,279.0,Active,1,2,5,8,Dormant
99,2025-08-16,19.0,132.81,16.0,Active,4,5,3,12,Loyal
100,2025-08-10,1.0,9.99,22.0,Active,4,1,1,6,New
101,2025-08-09,2.0,28.78,23.0,Active,3,2,1,6,Potential Loyal
102,2025-08-03,5.0,212.45000000000002,29.0,Active,3,3,4,10,Loyal
103,2024-05-31,2.0,15.98,458.0,Cancelled,1,2,1,4,Lost
104,,0.0,0.0,9999.0,Active,1,1,1,3,Dormant
105,2025-08-22,5.0,224.95000000000002,10.0,Active,5,3,4,12,Loyal
106,2025-08-13,5.0,63.949999999999996,19.0,Active,4,3,2,9,Potential Loyal
107,2025-08-14,11.0,109.89,18.0,Active,4,4,3,11,Loyal
108,2025-08-29,15.0,127.35000000000001,3.0,Active,5,5,3,13,Loyal
109,2025-08-26,21.0,146.79,6.0,Active,5,5,3,13,Loyal
110,2025-08-06,2.0,27.18,26.0,Active,3,2,1,6,Potential Loyal
111,2025-08-18,11.0,175.89000000000001,14.0,Active,4,4,4,12,VIP
112,2025-08-31,18.0,449.82,1.0,Active,5,5,5,15,VIP
