customer_id,plan_name,annualized_revenue,churn_probability,risk_level,retention_priority
42057,Standard,191.88,0.9622,High,Priority 1 - High Risk / High Value
45365,Standard,172.68,0.9589,High,Priority 1 - High Risk / High Value
19449,Standard,191.88,0.9563,High,Priority 1 - High Risk / High Value
32202,Standard,191.88,0.9553,High,Priority 1 - High Risk / High Value
8023,Standard,153.48,0.9532,High,Priority 1 - High Risk / High Value
1372,Standard,172.68,0.9512,High,Priority 1 - High Risk / High Value
12124,Basic,83.88,0.9496,High,Priority 2 - High Risk / Medium-Low Value
37496,Basic,83.88,0.9448,High,Priority 2 - High Risk / Medium-Low Value
12013,Basic,119.88,0.9429,High,Priority 1 - High Risk / High Value
39135,Standard,191.88,0.9414,High,Priority 1 - High Risk / High Value
34434,Basic,107.88,0.9411,High,Priority 2 - High Risk / Medium-Low Value
51163,Standard,191.88,0.9383,High,Priority 1 - High Risk / High Value
10957,Basic,107.88,0.9381,High,Priority 2 - High Risk / Medium-Low Value
16066,Basic,119.88,0.9376,High,Priority 1 - High Risk / High Value
36652,Premium,209.88,0.9369,High,Priority 1 - High Risk / High Value
24187,Basic,101.88,0.9336,High,Priority 2 - High Risk / Medium-Low Value
38555,Standard,163.07999999999998,0.9331,High,Priority 1 - High Risk / High Value
27595,Premium,299.88,0.933,High,Priority 1 - High Risk / High Value
21740,Standard,163.07999999999998,0.9328,High,Priority 1 - High Risk / High Value
320,Basic,107.88,0.9301,High,Priority 2 - High Risk / Medium-Low Value
31442,Premium,209.88,0.9299,High,Priority 1 - High Risk / High Value
35656,Basic,101.88,0.9298,High,Priority 2 - High Risk / Medium-Low Value
17126,Standard,191.88,0.9297,High,Priority 1 - High Risk / High Value
35347,Standard,134.28,0.9293,High,Priority 1 - High Risk / High Value
24309,Standard,134.28,0.9268,High,Priority 1 - High Risk / High Value
19156,Standard,134.28,0.9249,High,Priority 1 - High Risk / High Value
25410,Standard,191.88,0.9249,High,Priority 1 - High Risk / High Value
44310,Standard,191.88,0.924,High,Priority 1 - High Risk / High Value
6020,Premium,299.88,0.9237,High,Priority 1 - High Risk / High Value
7880,Standard,191.88,0.9226,High,Priority 1 - High Risk / High Value
45022,Basic,119.88,0.9225,High,Priority 1 - High Risk / High Value
27750,Premium,299.88,0.9221,High,Priority 1 - High Risk / High Value
39778,Standard,163.07999999999998,0.9221,High,Priority 1 - High Risk / High Value
1264,Basic,95.88,0.9218,High,Priority 2 - High Risk / Medium-Low Value
44883,Basic,107.88,0.9191,High,Priority 2 - High Risk / Medium-Low Value
1454,Standard,191.88,0.9191,High,Priority 1 - High Risk / High Value
44660,Premium,209.88,0.9188,High,Priority 1 - High Risk / High Value
38861,Basic,119.88,0.9184,High,Priority 1 - High Risk / High Value
9748,Basic,101.88,0.9178,High,Priority 2 - High Risk / Medium-Low Value
